name,population,region,description,keywords
Praha,1397880,Praha,"Praha je hlavní město a současně největší město Česka, zároveň je 13. nejlidnatějším městem Evropské unie. Leží mírně na sever od středu Čech na řece Vltavě. Praha se rozkládá na území 496 km² a žije zde okolo 1,4 milionu obyvatel, v pražské metropolitní oblasti žije zhruba 2,1 milionu obyvatel. Praha je jedním z krajů a zároveň správním centrem Středočeského kraje, který ji obklopuje. V Praze se koncentruje většiny státních institucí, sídlí zde prezident republiky, parlament, vláda, ústřední státní orgány a vrchní soud. Hlavní město je také ekonomickým, výzkumným, kulturním a náboženským centrem země. Do dnešní podoby se Praha vyvíjela jedenáct století. Coby historická metropole byla hlavním městem Českého knížectví, Českého království a sídelním městem císařů Svaté říše římské. Město hrálo významnou roli v české a protestantské reformaci, ve třicetileté válce a v dějinách 20. století jako hlavní město Československa, a to jak během první i druhé světové války, tak v poválečné komunistické éře. Praha je místem řady kulturních pamětihodností, mezi ty hlavní patří Pražský hrad, Karlův most, Staroměstské náměstí se Staroměstským orlojem, Josefov, Petřín a Vyšehrad. Praha je vysoce ekonomicky vyspělým a bohatým regionem s vysokou životní úrovní, přičemž tímto vyniká nejen nad české, ale i nad evropské standardy. V roce 2019 z indexu kvality života vyplynulo, že Praha má druhou nejlepší kvalitu života v Česku. Podle statistik Eurostatu je devátým nejbohatším regionem v Evropě. HDP na obyvatele v Praze dosahuje 171 % průměru celé Evropské unie (HDP na obyvatele Česka dosahuje pouze 80 %). V žebříčku globalních měst je hodnocena jako Beta+ metropole. V Praze sídlí od roku 1348 jedna z nejstarších evropských univerzit, Univerzita Karlova, a množství dalších vysokých škol. Hlavní město se ve žebříčku světových výzkumných měst časopisu Nature umístilo na 114. místě a je centrem výzkumu v zemi. Praha je také všeobecně považována za jedno z nejkrásnějších měst v Evropě. Historické centrum města s jedinečným panoramatem Pražského hradu, největšího hradního komplexu na světě, je od roku 1992 zapsáno do seznamu světového kulturního dědictví organizace UNESCO. Právě historické jádro města a mnohé památky přilákají ročně miliony turistů ze zemí celého světa. V roce 2017 navštívilo Prahu 8,5 milionu turistů, byla tak pátým nejnavštěvovanějším městem Evropy, po Londýně, Paříži, Istanbulu a Římu.
Oficiální název Praha, či hlavní město Praha (zkratka HMP) má Praha od roku 1920, předtím od sjednocení pražských měst roku 1784 byl název královské hlavní město Praha. Praha se nazývá Praga v latině a ve většině románských a slovanských jazyků; Prag v němčině, dánštině, švédštině a v srbochorvatštině; Praag v nizozemštině, Prague v angličtině a francouzštině; Prága v maďarštině; Praha je ve slovenštině, ukrajinštině a běloruštině. Z brněnského hantecu pochází lidové pojmenování Prágl.","['praha', 'hlavní', 'evropské', 'měst', 'je']"
Brno,402739,okres Brno-město,"Brno (německy Brünn) je statutární město, počtem obyvatel i rozlohou druhé největší město v České republice, největší město na Moravě a bývalé hlavní město Moravy. Je sídlem Jihomoravského kraje, v jehož centrální části tvoří samostatný okres Brno-město. Město o rozloze 230,18 km² má přibližně 403 tisíc obyvatel a v jeho metropolitní oblasti žije asi 700 tisíc obyvatel. Brnem protékají řeky Svratka a Svitava, které se v jižní části města slévají. Město se stalo centrem soudní moci České republiky, neboť je sídlem Ústavního soudu, Nejvyššího soudu, Nejvyššího správního soudu i Nejvyššího státního zastupitelství. Také je významným administrativním střediskem, protože zde sídlí státní orgány s celostátní kontrolní působností a další důležité instituce, jako veřejný ochránce práv, Úřad pro ochranu hospodářské soutěže nebo Státní zemědělská a potravinářská inspekce. V Brně je zákonem zřízeno studio České televize a Českého rozhlasu. Od roku 1777 je Brno také sídlem římskokatolické brněnské diecéze. Město je střediskem vysokého školství s 29 fakultami deseti univerzit a dalších vysokých škol s téměř 65 tisíci studenty. Mezi dříve dominující strojírenské závody ve městě patří Zbrojovka, výrobce traktorů Zetor, Královopolská či První brněnská strojírna, producent ložisek ZKL a další. V 19. století díky rozvinutému textilnímu průmyslu získalo Brno přezdívku „rakouský“ či „moravský Manchester“, v 21. století se díky vývoji informačních technologií zmiňuje jako „české“ či „moravské Silicon Valley“. Na Brněnském výstavišti jsou od roku 1928 konány velké mezinárodní výstavy a veletrhy, největší z nich je Mezinárodní strojírenský veletrh. Rozsáhlý areál výstaviště je také jednou z kulturních památek města. Brno proslulo i coby dějiště velkých motoristických závodů, jejichž tradice sahala do 30. let 20. století. K nejvýznamnějším závodům na blízkém Masarykově okruhu patří Grand Prix ČR, součást seriálu Mistrovství světa silničních motocyklů. Brno od roku 1998 hostí hojně navštěvovanou mezinárodní přehlídku ohňostrojů Ignis Brunensis. K nejvýznamnějším dominantám města patří hrad a pevnost Špilberk na stejnojmenném kopci a katedrála svatého Petra a Pavla na vršku Petrov utvářející charakteristické panorama města. Druhým dochovaným hradem na území Brna je Veveří, kdysi vybudovaný nad řekou Svratkou a dnes se tyčící nad Brněnskou přehradou. Významnou památkou meziválečné architektury je funkcionalistická vila Tugendhat, patřící mezi Světové dědictví UNESCO. V Brně se nachází celkem 14 národních kulturních památek. Historické městské jádro bylo vyhlášeno městskou památkovou rezervací, na území města se také nachází dvě městské památkové zóny, jedna vesnická památková zóna a jedna archeologická památková rezervace. K turisticky atraktivním lokalitám patří také Chráněná krajinná oblast Moravský kras, jejíž nejjižnější část zasahuje na území města. Brno je rovněž vinařskou obcí v rámci Velkopavlovické vinařské podoblasti.
Jméno je poprvé doloženo ve 12.","['brno', 'nejvyššího', 'je', 'mezinárodní', 'soudu']"
Ostrava,283187,okres Ostrava-město,"Ostrava (polsky Ostrawa, německy Ostrau) je statutární, krajské a univerzitní město v okrese Ostrava-město na severovýchodě Česka v Moravskoslezském kraji, poblíž hranice s Polskem. Nachází se na soutoku řek Odry, Opavy, Ostravice a Lučiny. Ostrava je počtem obyvatel i rozlohou třetí největší město v Česku, druhé největší město na Moravě a největší město v Českém Slezsku (leží na hranici těchto dvou historických zemí). Ve městě žije přibližně 283 tisíc obyvatel, v aglomeraci pak téměř 1 milion obyvatel, která je tak po pražské druhou největší aglomerací v Česku. Společně s polskými Katovicemi tvoří Slezskou metropolitní oblast s 5,3 miliony obyvatel. Ostrava vyrostla jako průmyslové středisko černouhelné pánve. Pro svůj hornický a hutnický průmysl v minulosti zvaná „ocelové srdce republiky“, prošla výraznými změnami po roce 1989. V důsledku restrukturalizace průmyslu byla utlumena důlní činnost a poslední uhlí se na území města vytěžilo v roce 1994. Svědkem hornické minulosti je Dolní oblast Vítkovice, bývalý průmyslový areál s unikátním souborem industriální architektury aspirující na zápis do seznamu Světového dědictví UNESCO. V Ostravě se nachází řada divadel, galerií a kulturních domů. Mezi nejznámější kulturní akce pořádané ve městě patří hudební festivaly Colours of Ostrava a Beats for Love, Folklor bez hranic Ostrava, festivaly vážné hudby Leoše Janáčka a Svatováclavský hudební festival či Shakespearovské slavnosti. Vysoké školství je v Ostravě zastoupeno Vysokou školou báňskou – Technickou univerzitou Ostrava a všeobecněji zaměřenou Ostravskou univerzitou. Mezi špičková výzkumná centra patří superpočítač IT4Innovations či biotechnologické centrum LERCO.
Jméno (Moravské a Slezské) Ostravy bylo převzato od řeky Ostravy, což bylo středověké jméno dolního toku Ostravice.
První zmínka o Slezské Ostravě pochází z roku 1229, kdy je zmiňována jako osada, zatímco Moravská Ostrava je zmiňována v roce 1267 a mluví se o ní jako o městečku.[zdroj?] Původně malá osada vznikla nad řekou Ostrá (dnes Ostravice), která jí dala jméno a dodnes ji dělí na dvě základní části, Moravskou Ostravu a Slezskou Ostravu. Poloha na zemské hranici v místě, kudy procházela jantarová stezka, vedla ve středověku k rozvoji města; po třicetileté válce, kdy byla v rozmezí let 1631 až 1645 několikrát obsazena Švédy, však význam Ostravy upadl. V roce 1763 bylo ve slezské části Ostravy objeveno bohaté ložisko kvalitního černého uhlí, což předznamenalo výraznou proměnu města. V roce 1828 založil majitel panství, olomoucký arcibiskup Rudolf Jan, hutě nazvané po něm Rudolfovy. Později tyto hutě přešly do majetku rodiny Rothschildů a získaly název Vítkovice. Staly se jádrem rozsáhlého průmyslového rozmachu města, jehož odrazem byla i (ve druhé pol. 20. století) přezdívka města: ocelové srdce republiky.","['ostrava', 'ostravy', 'ostravice', 'slezské', 'největší město']"
Plzeň,187928,okres Plzeň-město,"Plzeň (v němčině a dalších jazycích Pilsen) je statutární město na západě Čech a metropole Plzeňského kraje. Leží na soutoku řek Mže, Radbuza, Úhlava a Úslava, z nichž vzniká řeka Berounka. Žije zde přibližně 188 tisíc obyvatel a je tak čtvrtým největším městem v Česku. V plzeňské aglomeraci žije přes 300 tisíc obyvatel, více než 50 % obyvatel Plzeňského kraje. Plzeň je známá jako průmyslové a pivovarnické město. Společnost Škoda Transportation a další firmy pokračují v tradici strojírenského podniku Škoda, na druhé straně krajské metropole jsou pak v jednom závodě situovány pivovary Plzeňský Prazdroj, ve kterém byla 5. října 1842 uvařena první várka plzeňského světlého spodně kvašeného ležáku a který dal vzniknout všem pivům typu Pils, Pilsner a Pilsener, a Gambrinus. Plzeň má i podstatný kulturní význam. Nacházejí se tu početné kulturní domy a divadla. Ve městě sídlí také biskupství plzeňské diecéze. Vysoké školství zastupují Západočeská univerzita a Lékařská fakulta Univerzity Karlovy. V roce 2015 byla Plzeň (společně s belgickým Monsem) Evropským hlavním městem kultury. Současné historické jádro města má pravidelnou síť ulic s obdélníkovým náměstím Republiky uprostřed (139 × 193 m), jemuž vévodí katedrála sv. Bartoloměje s nejvyšší kostelní věží v Česku.
Nově založené královské středověké město bylo původně nazváno Nová Plzeň. Název byl převzat od staršího hradiště s aglomerací v jeho podhradí, které se nyní nazývají Hůrka a Starý Plzenec. Název Plzeň je pro ně doloženo již v 10. století v latinském přepisu Pilisin a Plizen. Jeho původ není jistý. Podle jedné teorie pochází z osobního jména (ovšem jinak nedoloženého) a znamenalo „Plznův hrad“ (hradiště), další teorie předpokládá souvislost s ruským slovem opoľzeň a význam „půdní sesuv“, „sesunutá hora“ s odkazem na charakter terénu.
První zmínky o Plzni (dnešním Starém Plzenci) pocházejí z roku 976, kdy u tohoto přemyslovského hradiště kníže Boleslav II. porazil vojsko německého krále Oty II. V podhradí postupně vyrostlo městské sídlo s řadou kostelů a živým obchodním ruchem. Do nynější polohy (v jižním sousedství tehdejší vsi Malice) přenesl město pod názvem Nová Plzeň král Václav II. roku 1295 jako důležitou obchodní křižovatku západních Čech na cestě z Prahy do Bavorska. Vyřešila se tím dodávka vody, neboť místo leželo na soutoku řek Mže a Radbuzy.[zdroj?] Díky své výhodné poloze na křižovatce obchodních cest a hlavně na trase z německých zemí do Prahy se brzy Plzeň stala třetím největším a nejdůležitějším městem po Praze a Kutné Hoře. V této době byly také vystavěny kostel sv. Bartoloměje ve středu náměstí, františkánský klášter na jihovýchodě při hradbách, nedochovaný dominikánský klášter na severozápadě, špitální kostel sv. Maří Magdalény z roku 1320 Na samém počátku husitských válek měli husité díky radikálnímu knězi Václavu Korandovi ve městě velký vliv. Roku 1420 ale musel Koranda s Janem Žižkou odejít do Tábora a Plzeň se stala baštou katolické strany.","['plzeň', 'na', 'soutoku řek', 'teorie', 'bartoloměje']"
Liberec,108090,okres Liberec,"Liberec (německy Reichenberg) je statutární město v okrese Liberec na severu Čech a krajské a univerzitní město Libereckého kraje. Se svými přibližně 108 tisíci obyvateli je páté největší město v Česku (třetí v Čechách). Spolu se sousedním Jabloncem nad Nisou a okolními obcemi vytváří širší sídelní aglomeraci s 220 tisíci obyvatel. V katastrálním území města se jako enkláva nachází obec Stráž nad Nisou. Liberec je zakládajícím členem Euroregionu Nisa, od roku 2004 i jeho hlavním městem.
Liberec se nachází zhruba 91 km severo-severovýchodně od Prahy a 99 km severo-severozápadně od Hradce Králové. Město leží v Liberecké kotlině Žitavské pánve mezi Ještědsko-kozákovským hřbetem jižně a Jizerskými horami severovýchodně. Pata radnice je ve výšce 374 m n. m., nejvyšším bodem katastru města je vrchol Ještědu (1012 m n. m.), nejnižší je hladina Nisy v severní části Machnín (325 m n. m.) Městem protéká Lužická Nisa a její přítoky, například Černá Nisa a Harcovský potok, na němž leží Harcovská přehrada. Přirozenými vodními plochami jsou rybníky: například Vesecký (tzv. Teich), Kačák (Žabák) v Krásné Studánce či rybník Seba (hráz) v Janově Dole. Liberec se do roku 1939 rozprostíral na ploše 6,2 km², což dnes představuje historický střed města. Po připojení 11 obcí 1. května 1939 se město rozrostlo o dalších 23 obcí v letech 1954, 1963, 1976, 1980 a 1986. Po roce 1989 se naopak čtyři obce od města oddělily. Rozloha katastru města tak činí 106,09 km². Z toho tvoří 35,2 % zemědělská půda, přes polovinu jí jsou louky a pastviny. Dvě třetiny nezemědělské půdy tvoří půda lesní (celkem 39,9 % rozlohy). Sousedními obcemi sídla jsou Chrastava, Rádlo, Janov nad Nisou, Jablonec nad Nisou, Bedřichov, Proseč pod Ještědem, Jeřmanice, Stráž nad Nisou, Dlouhý Most, Šimonovice, Světlá pod Ještědem, Mníšek, Kryštofovo Údolí a Nová Ves.
Podnebí Liberce určuje jeho poloha v kotlině mezi dvojicí horských masivů. Protože jsou tyto horské hřebeny překážkou proudění vlhkého atlantického vzduchu, jsou ve městě poměrně hojné srážky. Jejich průměrný úhrn je 803,4 mm ročně – nejdeštivějším měsícem je srpen s 88,4 mm, nejsušší je únor s 46,2 mm. Průměrná teplota vzduchu je 7,2 °C, nejteplejším měsícem je červenec s 16,2 °C, nejchladnější leden, kdy průměrná teplota činí −2,5 °C.
Původ názvu města je stále nejasný, býval předmětem mnoha diskusí, často dokonce národnostně podbarvených. Patrně nejstarším doloženým tvarem názvu je Reychinberch z roku 1352 a Raichmberg (1369). Přípona -berg znamená německy „hora“ a reich „bohatý“. Protože však tehdejší osada zvláštním bohatstvím neoplývala, považuje se název buď za přání osadníků, nebo za název přinesený z Německa. Český ekvivalent jména vznikl zkomolením: Rychberk (1545), Lychberk (1592), Libercum (1634), Liberk (1790) a konečně Liberec (1845).","['liberec', 'nad nisou', 'nisou', 'je', 'stráž']"
Olomouc,103063,okres Olomouc,"Olomouc (rod ženský, v místním úzu i mužský, hanácky Olomóc nebo Holomóc; německy Olmütz) je statutární a univerzitní město v okrese Olomouc, šesté nejlidnatější město v Česku (třetí na Moravě). Jedná se o krajské město Olomouckého kraje a jedno z bývalých hlavních měst Moravy. Ve městě o rozloze 10 336 ha žije přibližně 103 tisíc obyvatel. Jedná se o největší město na řece Moravě. V její aglomeraci žije zhruba 400 tisíc obyvatel. Olomouc byla ve středověku třetím největším městem zemí Koruny české (po Praze a Vratislavi) a soutěžila s Brnem o status centra Moravy. To se však změnilo poté, co město okupovala armáda Švédského impéria v letech 1642 až 1650. V polovině 18. století bylo město přebudováno na mocnou pevnost a Olomouc bývala významným obranným centrem, sídlem silné vojenské posádky. V následujících letech tu vyrostlo mnoho kasáren, cvičišť, skladišť a dalších objektů, které využívala armáda i po zrušení pevnosti v roce 1884, po dobu Československé republiky (kdy vzniklo též významné letiště v Neředíně), i po druhé světové válce. Od roku 1968 byla v Olomouci i velice početná okupační posádka Sovětské armády. Do roku 2013 sídlilo v Olomouci Velitelství společných sil AČR, do té doby tedy město bylo hlavním centrem obrany státu. Od roku 2015 byl v Olomouci vytvořen Útvar podpory speciálních operací. Po reorganizaci sem bylo v roce 2020 situováno Velitelství pozemních sil AČR. A spolu s krajským velitelstvím, 15. ženijním plukem, velitelstvím vojenské policie i sídlem vojenské hudby se dodnes jedná o významné vojenské centrum ČR. V oblasti soudní moci je významnou institucí Vrchní soud v Olomouci. Díky tomu zde nesdílí krajský soud, ale jeho agendu obstarává Krajský soud v Ostravě – pobočka Olomouc. Protože je město sídlem kraje, působí zde také krajský úřad. Význam Olomouce jako vzdělanostního centra podtrhují Univerzita Palackého, nejstarší na Moravě a druhá nejstarší v Česku, Vědecká knihovna a Slovanské gymnázium, nejstarší nepřetržitě fungující střední škola na Moravě s českým vyučovacím jazykem. Dnes je nejen sídlem arcibiskupství a metropolity římskokatolické moravské církevní provincie, ale také centrem pravoslavné církve na Moravě. Pro svou atmosféru a historické pamětihodnosti je Olomouc vyhledávaným místem konání mezinárodních konferencí a festivalů. Více než padesátiletou tradici má Academia Film Olomouc (AFO), mezinárodní festival dokumentárních filmů a videoprogramů. Probíhá tu též významný český divadelní festival Divadelní Flora, dále pak Flora Olomouc, mezinárodní výstava zaměřená na zahradnictví a pěstování rostlin s každoroční návštěvností okolo 80 000 návštěvníků. Oblíbený je rovněž Podzimní festival duchovní hudby či Mezinárodní varhanní festival. Své fanoušky si již našly také mladší akce – květnový Beerfest i srpnový Flamenco festival. Olomouc je významné historické město bohaté na památky různého druhu.","['olomouc', 'festival', 'olomouci', 'vojenské', 'moravě']"
České Budějovice,97231,okres České Budějovice,"České Budějovice (v místním nářečí Budějce; německy Budweis, popřípadě Böhmisch Budweis) jsou statutární město v okrese České Budějovice a správní a kulturní metropole Jihočeského kraje. Leží v Českobudějovické pánvi na soutoku řek Vltava a Malše. Žije v nich přibližně 97 tisíc obyvatel, v aglomeraci pak kolem 170 tisíc obyvatel. Historické centrum bylo roku 1980 vyhlášeno městskou památkovou rezervací. Ve městě sídlí Jihočeská univerzita v Českých Budějovicích a biskup římskokatolické českobudějovické diecéze. V roce 2028 budou Budějovice Evropským hlavním městem kultury.
Název města se odvíjí od staré osady Budivojovice. V průběhu věků výslovnost a transkripce jména mírně kolísala, přídomek České se začal objevovat v průběhu husitských válek, původně stejnou měrou v češtině i němčině (Böhmisch Budweis) a v čistě územním smyslu. Od poloviny 18. století, kdy kulminovalo národnostní pnutí a název začal být brán i z národnostního pohledu, však došlo k diferenciaci: zatímco čeština dále používala České Budějovice, u Němců převážilo jméno bez přídomku, tedy Budweis (záměna nehrozila, Moravské Budějovice jsou německy Budwitz). Tento stav už přetrval navzdory tomu, že v roce 1920 československé úřady za oficiální jméno města vyhlásily České Budějovice a Böhmisch Budweis v němčině. Za protektorátu bylo oficiální jméno naopak pouze Budweis v němčině a Budějovice v češtině. Latinský název města je Budvicium. Obyvatelé používají zkrácený název města Budějce, tvar Budějice považují za chybný, přestože se používá již dlouhou dobu stejná změna koncovky se vyskytuje u sousedních obcí Hrdějovice, Litvínovice či Hodějovice.
Na území budoucího centra města archeologové doložili lidskou přítomnost již v období 1800 až 1500 před naším letopočtem. Na dnešním Piaristickém náměstí existovalo v raném středověku pohřebiště, tedy asi i sídliště. Počátkem 13. století vznikla osada Budivojovice, pojmenovaná dle Budivoje ze Železnice, dvořana českého krále Přemysla Otakara I. a nejvyššího dvorského sudího. Poslední památky na tuto původní osadu jsou dnes k nalezení za obchodním domem Družba. Další důležitou osadou na území dnešních Budějovic byly Stradonice (zhruba dnešní Rožnov). Staly se prosperující obcí díky staré obchodní cestě z Lince. Stradonice patřily Vítkovcům (Rožmberkům), nejmocnějšímu jihočeskému šlechtickému rodu. Existují náznaky, že Vítkovci z osady chtěli vybudovat město. To se ale vůbec nelíbilo královské moci. Ta cítila, že potřebuje na jihu Čech svou základnu a protiváhu Vítkovců. Tuto roli do té doby plnily jen nedostatečně královský hrad Zvíkov a město Písek.
Město České Budějovice nechal založit český král Přemysl Otakar II. v roce 1265. Obvykle uváděným datem založení je 10. března (den, kdy dominikáni převzali parcelu pro stavbu nového kláštera). Lokaci a projekci města provedl králův rytíř a zvíkovský purkrabí Hirzo z Klingenbergu. Ve městě patrně krátce existoval, nebo spíše měl existovat královský hrad. Přemysl Otakar II.","['budějovice', 'české budějovice', 'böhmisch', 'němčině', 'české']"
Hradec Králové,94311,okres Hradec Králové,"Hradec Králové (německy Königgrätz) je statutární město na východě Čech, ležící na soutoku Labe s Orlicí. Je metropolí Královéhradeckého kraje, společně s nedalekými Pardubicemi tvoří metropolitní oblast s 340 tisíci obyvatel. V samotném Hradci Králové žije přibližně 94 tisíc obyvatel. Pro své příhodné vlastnosti bylo území Hradce osídleno již v dobách prehistorických. Ve středověku šlo o věnné město českých královen a této době vděčí za gotickou katedrálu sv. Ducha na svém Velkém náměstí, která dnes vedle Bílé věže a Staré radnice patří mezi městské dominanty. V letech 1766 až 1857 sloužilo město jako vojenská pevnost, pro nezájem města obnovená a zrušená až v roce 1884. Správa města plně využila možnosti úplného řízení urbanistického rozvoje. Tím se doslova uvolnil prostor pro zlatou éru královéhradecké architektury na začátku 20. století, ze které si především díky stavbám Gočára a Kotěry město odneslo označení Salon republiky. Hradec Králové je univerzitní město, vyučuje zde Univerzita Hradec Králové, některé fakulty Univerzity Karlovy a Univerzity obrany. Sídlí zde např. krajský soud nebo biskupové královéhradecké diecéze církve katolické a československé husitské. Klicperovo divadlo je uznávanou scénou, jež čtyřikrát získala ocenění „Divadlo roku“, artkino Central se pyšní oceněním „Nejlepší evropské kino pro mladé publikum“ z roku 2008. Královéhradecký Park 360, který vznikl v části areálu bývalého vojenského letiště, poskytuje prostor mimo jiné letnímu festivalu Rock for People.
Krajina na soutoku Labe s Orlicí, jíž dominuje město Hradec Králové, byla obydlena již v době prehistorické. Archeologické naleziště na okraji města v Plotištích nad Labem vykazuje několikanásobné osídlení jak z období pravěku, tak z římské doby. Kumulace pravěkých kultur na jednom místě v blízkosti brodu přes Labe a charakter nálezů dokazují, že po celé dlouhé úseky svého osídlení měla tato významná lokalita ráz obchodního střediska. Již v 10. století zde vzniklo slovanské hradiště s rušným tržištěm, ovládajícím starou obchodní stezku od Krakova přes Náchod k Praze. Koncem desátého století se Hradec stal jedním z center hradské soustavy, ze kterého bylo spravováno území severovýchodních Čech po obou stranách Labe podle jeho toku od Dvora Králové až k Pardubicím. Ve 12. století zaujímá Hradecko již několik správních okrsků, spojených v celou provincii se čtyřmi hrady, purkrabským soudem a arcijáhenstvím. Přesné založení města není známé. Vlivem značného stavebního ruchu, terénních úprav, požárů a válečných škod po staletí na městském pohorku došlo ke ztrátě nejstarších archeologických stop. Osudový význam pro vývoj městského osídlení mělo 13. století, kdy se stal Hradec s tržním předhradím královským městem. K roku 1225 se poprvé v písemné listině (smlouvě) připomíná město (civitas) Hradec, nikoliv s přívlastkem Králové, který se objevuje až od 14. století. Zakládající listina Hradce jako města se nedochovala a proto se přesně neví, kdy bylo město založeno.","['králové', 'hradec', 'hradec králové', 'labe', 'univerzity']"
Pardubice,92319,okres Pardubice,"Pardubice jsou univerzitní a statutární město v okrese Pardubice na východě Čech, metropole Pardubického kraje s výraznou správní, obytnou, obslužnou a výrobní funkcí pardubicko-hradecké aglomerace. Leží ve východní části Polabí na soutoku řek Labe a Chrudimky, přibližně sto kilometrů východně od Prahy a dvacet kilometrů jižně od Hradce Králové v nadmořské výšce přibližně 220 metrů. Pardubice mají přibližně 92 tisíc obyvatel, a jsou tak devátým největším městem Česka, jsou také největším městem Pardubického kraje i okresu Pardubice. Výměra území města je 82,7 km². Pardubice se dělí na 8 samosprávných městských obvodů a 20 katastrálních území. První dochovaná zmínka o existenci Pardubic pochází z roku 1295, k roku 1340 jsou už připomínány jako město. Největší rozkvět prodělaly za pánů z Pernštejna. Na konci 16. století a v 17. století nastal úpadek. Nový rozvoj města přišel od poloviny 19. století s připojením města na železnici. Vznikla zde řada průmyslových podniků jako lihovar, cukrovar, továrna na mlýnské stroje, Fantova rafinérie minerálních olejů a další. Po druhé světové válce došlo k masivní výstavbě nových čtvrtí především na okraji města a počet obyvatel se rychle zdvojnásobil. Sídlí zde Univerzita Pardubice, dále např. okresní soud a pobočka krajského soudu. Historické centrum je od roku 1964 městskou památkovou rezervací. Hlavními průmyslovými odvětvími jsou průmysl chemický, strojírenský a elektrotechnický. Už od 16. století jsou proslulé výrobou perníku. Významné sportovní události jsou slavné koňské dostihy Velká pardubická, motocyklový závod Zlatá přilba, Mezinárodní festival šachu Czech Open či tenisová Pardubická juniorka. Známá je železniční a letecká doprava. Od roku 1909 tu sídlí Východočeské divadlo, působí zde profesionální Komorní filharmonie Pardubice.
Původní ves, doložená v roce 1295, nesla název Pordoby. Místní jméno tedy dříve znělo Pordobice (1318 „de Pordobitz“), tj. „ves lidí Pordobových“. Pordobice se nacházely na území dnešní čtvrti Pardubičky, jihovýchodně od středu města. Dle jedné teorie jméno do Polabí přinesli z Polska mniši řádu cyriaků (podle polského místního jména Porydęb), kteří spravovali zdejší kapli svatého Jiljí. Dle jiné teorie existovalo pojmenování „in Pordabii“ v listině z roku 1295, tedy ještě před příchodem zmíněných mnichů, a naopak polská místní jména jsou odkazem na české Pardubice. Hláskovou změnu Pordob- na Pardub- lze vysvětlit snahou po disimilaci dvou -o- a možná i mylnou asociací se spojením „pár dubů“, popřípadě osobním jménem Pardus; výklad není zcela jistý. Německá podoba názvu města zní Pardubitz.
První dochovaná zmínka o existenci Pardubic pochází z roku 1295, kdy papež Bonifác VIII. potvrdil zdejší klášter cyriaků a kostel svatého Bartoloměje.
Prvním vlastníkem Pardubic na začátku 14. století byl Púta z Dubé. Kolem roku 1325 vyměnili jeho synové Pardubice s rytířem Arnoštem z Hostýně. Jeho syn Arnošt z Pardubic byl prvním pražským arcibiskupem.","['pardubice', '1295', 'pardubic', 'jsou', 'na']"
Ústí nad Labem,90866,okres Ústí nad Labem,"Ústí nad Labem (německy doslova „Aussig an der Elbe“; německý název města je ale pouze Aussig [dříve psáno Außig]) je statutární město na severu Čech, centrum Ústeckého kraje. Leží na soutoku řek Labe a Bíliny mezi Českým středohořím a Krušnými horami. Žije zde přibližně 91 tisíc obyvatel a je součástí půlmilionové severočeské aglomerace. Ústí nad Labem je univerzitním městem s průmyslovou tradicí a sportovním zázemím, důležitým železničním a silničním uzlem. Leží 90 kilometrů severozápadně od Prahy, 180 kilometrů severovýchodně od Plzně, 130 kilometrů východně od Karlových Varů, 95 kilometrů jihozápadně od Liberce a 65 kilometrů jihovýchodně od německých Drážďan.
Název byl patrně, vzhledem k poloze na soutoku dvou řek, odvozen ze staročeského slova ustie (ústí). V německém jazyce se používá nejméně od 15. století název Aussig an der Elbe. Město bylo většinu své existence převážně německojazyčné. V latinských zápisech je doložen z roku 1368 (v zápisech pražských benediktinů u sv. Jiří) název Vsk super Albium. V nadpisu Městské knihy soudní a pamětní, založené roku 1438 v rámci obnovy města 12 let po dobytí husity a vedené do roku 1514, byl užit název Austia super Albea. Pamětní kniha byla psaná nejprve latinsky, od roku 1440 některé zápisy též německy a roku 1474 se objevuje čeština, která kolem roku 1490 převážila. V nadpise knihy testamentů vedené v letech 1504–1585 se město označuje Ausigh super Albea, zápisy se střídají také ve třech jazycích, zpočátku převažuje čeština. V hornolužické srbštině se používá název Wusće.
Středověká epocha města vystupuje nejstarší písemnou zmínkou z 10. století, že zde byla osada s tímto jménem, která sloužila jako celnice kontrolující pro české panovníky labský obchod. Zakladateli pozdějšího města byli němečtí kolonisté, které pozvali do české země čeští králové ve 13. století. K založení královského města Ústí nad Labem došlo mezi léty 1233 až 1249. Je to zmíněno v listině krále Václava I. v roce 1249. Byl zde vybudován původní hrad (poslední záznam o jeho existenci je ještě v roce 1283) a podhradí. Jeho funkci celnice ovšem na začátku 14. století převzal hrad Střekov. Oblastí s nejstarší historickou tradicí je okolí nedaleké obce Stadice ležící v údolí řeky Bíliny. Český kronikář Kosmas sem přisuzuje děj pověsti o zrodu Přemyslovců. Podle jeho vyprávění byl právě zde bájný Přemysl Oráč vyzván, aby opustil svůj pluh, oženil se s kněžnou Libuší a usedl na knížecí stolec. Přemyslovci Čechám vládli přibližně od roku 800 až do roku 1306. Přemysl Otakar II. povýšil Ústí na město, pravděpodobně v polovině 13. století. Výsady, které město dostalo od svého zakladatele, potvrdil a rozšířil Jan Lucemburský. Město se řídilo magdeburským právem, mělo svobodné právo plavby i právo mílové. V historických dokumentech se také vyskytují názvy prvních dodnes existujících ulic. Hrnčířskou ulici již písaři zmiňují v roce 1402. Druhou písemně doloženou ulicí je Dlouhá, zmíněná v roce 1443.","['ústí', 'ústí nad', 'nad labem', 'labem', 'název']"
